dept,donation,events,food_spend,guest_amt,venue_cost,equipment_rental,event_date,attendance,sponsorship,marketing_spend,student_spend
AI&DS,500595.8533467392,29,94338.19256129154,18611.556312556695,43052.45191911212,21673.38543893043,2024-12-06,603,220154.84136160318,11329.400265515003,360742.14479492995
EEE,1360190.8500175204,30,83973.39723459366,48891.797471588936,113999.31268645695,11678.601746766233,2023-11-20,373,329609.3629124474,37248.43715159141,647320.4200547877
Medical Electronics,88435.5486210101,39,82826.4854025128,12655.193778917666,120447.22845666166,27766.62488459721,2024-11-28,654,366294.2864721445,24677.67417100779,286381.60235154553
CSE,253011.734869919,44,89598.18479517793,45420.71287789558,112936.93943187078,15891.801653057259,2023-11-22,307,10351.260766224093,23159.687936615977,258880.80766714786
AI&DS,1609836.3664777193,47,73003.0845494894,39956.14994629496,95267.09405203887,8227.154878561545,2024-09-16,960,469058.1807445975,11163.498554490612,769506.1615237342
ECE,398162.0910059505,25,19396.37167732733,8441.597997469089,21899.169624154772,23557.468918348608,2023-06-14,714,90617.43247247807,27804.651832300464,237982.31882073067
AI&DS,1322854.9103111557,37,45919.01692663507,49402.80956753819,66848.81400721219,21077.608815446256,2024-07-26,223,124454.412768956,10694.539003836977,534835.0924109933
Medical Electronics,514456.42304111674,47,75083.45378181666,17211.468359255472,98629.12581713556,12893.585062100927,2024-08-26,109,139101.98838998564,26447.920533974317,338129.53812878026
CSE,243910.71588072306,8,35230.10147123688,9436.231716008555,70368.66846993004,20537.968100851213,2024-03-30,428,28531.8669104973,39362.68845327455,185629.1956753157
EEE,524185.7724489355,42,71866.57277226138,42319.14053565917,132252.3863386657,10496.54890922442,2023-06-02,286,70295.54055925921,16621.896104922358,328273.9206095958
Medical Electronics,1458420.5171185352,16,12204.860344088711,36800.39901549649,60144.295795449994,16120.983983513239,2023-05-07,642,493311.4622426394,26635.37756808773,654153.0159701826
Medical Electronics,1718608.112807257,8,37552.360679163394,32774.84626450554,58159.523019625856,27485.31305418313,2023-07-12,767,164456.20131487018,49640.7186228576,679418.106496398
ECE,1668928.7359056335,1,59421.73026494554,12019.13886645199,54579.700102045535,8338.355829018736,2024-09-18,159,66497.53426613417,35899.269050931674,604624.0354683461
IT,824507.8827559869,44,66888.0846555618,26532.325231518284,63261.51296490341,14667.41124968655,2024-06-13,860,62425.71797556543,42861.05470873394,450642.58058802714
CSE,1352766.01631276,5,61933.65980157197,40125.02120992462,92462.64536084433,25528.560618008683,2023-01-10,998,362535.3841582862,23668.14229522456,628925.3015572571
Mechanical,449719.3760608509,3,72798.06484660866,18663.07721647281,111911.98825543681,29237.272485154455,2023-04-02,985,428738.64537599403,39553.74154066349,389527.557647947
